博主,id,时间,来源,收藏,转发,评论,点赞,艾特,标签,内容
2345落英缤纷,6628711225,04月12日 22:59,OPPO智能手机,,,,1,,#日本核废水可致癌致畸致突变#,联合国呢？这么大的事都不发声的吗？我天虽然我不是医学生，但是切尔诺贝利纪录片看得我毛骨悚然，这个事情怎么办？ ​
脸长也叫特长bai生,2962593974,04月12日 22:59,OPPO R9s,,,,,,#日本核废水可致癌致畸致突变#,"日本核废水一旦排入太平洋中危害有多大,以后海鲜还有人敢吃吗?“哥斯拉”会因此出现吗？ ￼moons正浓-的微博视频  ​"
小桃红柳绿,2149115373,04月12日 22:59,华为P8,,,,,,#日本核废水可致癌致畸致突变#,【专家：】4月9日，日本政府基本决定将福岛核污水排入大海。12日，日本首相菅义伟表示，解决东京电力公司福岛第一核电站中不断增加的核污水一事，已经是“不能推迟”的课题。郑州大学教授李顺义指出，核废水排入大海以后，首先会影响到周边国家，然后经过海洋的大洋环流， ​... 全文 收起全文d
苹果柠檬刮油汤,2635391551,04月12日 22:59,Android客户端,,,,,,#日本核废水可致癌致畸致突变#,今日日本首相菅义伟再次表示，福岛核污水排入大海已经不能推迟了德国的海洋科学研究机构的计算显示，从排放之日起，57天内放射性物质就将扩散至... 全文 ​
陳毅YiChen,2389546112,04月12日 22:59,小米5s 拍照黑科技,,,,,,#日本核废水可致癌致畸致突变#,【专家：】4月9日，日本政府基本决定将福岛核污水排入大海。12日，日本首相菅义伟表示，解决东京电力公司福岛第一核电站中不断增加的核污水一事，已经是“不能推迟”的课题。郑州大学教授李顺义指出，核废水排入大海以后，首先会影响到周边国家，然后经过海洋的大洋环流， ​... 全文 收起全文d
接招吧制作人,2662900871,04月12日 22:59,小米5s 拍照黑科技,,,,,,#日本核废水可致癌致畸致突变#,今日日本首相菅义伟再次表示，福岛核污水排入大海已经不能推迟了德国的海洋科学研究机构的计算显示，从排放之日起，57天内放射性物质就将扩散至... 全文 ​
美美喜欢,1355746895,04月12日 21:40,微博 weibo.com,,,,,,#v光计划#, 这是IAEA4月2日对日本福岛废水的评估报告，链接：O网页链接。图四是报告的摘要版，提到了主要的发现和建议：上面一段是所谓“同意”的来源，就是在技术原理上的同意；下一段是实践层面，IAEA既没有权限也没有兴趣直接给日本政府背书，大致机翻见图六，关键词是所有利益相关者 ​
黎明冲冲冲,2607018865,04月12日 22:59,前置双摄vivo X9,,,,,,#日本核废水可致癌致畸致突变#,"日本核废水一旦排入太平洋中危害有多大,以后海鲜还有人敢吃吗?“哥斯拉”会因此出现吗？ ￼moons正浓-的微博视频  ​"
Je_Romaric,2720307890,04月12日 20:09,微博 weibo.com,,,,,,#日本核废水可致癌致畸致突变#影视作品中，日本人总是在反思对自然的破坏。影视作品外，“我们决定往海里排核废水啦，污染到你们真是不好意思啦”。奥特曼也许是虚构的，但怪兽却是真实存在的，就在这些人的心里。#暴走君聊天室#, ​
Kyra老安,6418144367,04月12日 22:59,iPhone客户端,,,1,1,,-,世界为什么变得这么烂甚至都不敢想前几年能第一排、hk五月之约、台湾跨年成就全达成吃顿饭一拍脑袋隔月就去趟霓虹以为上班了世界就能越来越大 结果出南京都要左申请右报批一边想去环球影城任天堂区一边又恨死霓虹核废水乱排全地球一起跟着倒霉了不过想想全人类毁灭就在一瞬间 反而生活没烦恼了 ​
liuyue65_,7522735495,04月12日 15:23,微博 weibo.com,,,,,,#日方不能对国际社会的反对视而不见#】#外交部回应日本拟决定核废水排海#,【外交部：：目前国际舆论对日方拟决定核废水排海高度关注，普遍表示质疑和反对。日本国内也有不少强烈反对意见。日方经常要求他国履行国际责任，现在国际社会都在看着日方，日方不能视而不见、听而不闻。此事关系重大，日方应对国际公共利益负责，这也是对本国民众利益负责。为维护国际公共利益和中国人民健康安全，中方已通过外交渠道向日方表明严重关切，要求日方切实以负责任的态度，审慎对待福岛核电站核废水处置问题。（总台央视记者张雪松）O网页链接 收起全文d
猫酱_凛遥桔梗本命,5870129478,04月12日 22:58,网路恶霸猫Android,,,,,,-,本猫真滴好奇日本民众对核废水排到太平洋的态度肯定反对吧海鲜爱好国 这以后咋吃 45万民众联名反对但好多就体谅态度 ​
赵鹏飞,1857345450,04月12日 22:58,iPhone 8 Plus,,1,6,9,,#菅义伟回应福岛核污水排入大海#,作为发达国家，日本并不缺乏资金和技术手段，来应对这类突发应急事件，福岛核废水之所以拖了10年还悬而未解、越拖越严重，主要还是日本社会的组织体系出了大问题。政府、党派、商界、财阀，乃至媒体、宗教等方方面面分散了全社会的决策权力。在常态化的时候，纵横交织的权力保证了社会的稳固，也培育出了国民礼仪周全情绪压抑的矛盾性格。显而易见的弊端就在于非常态化时，决策的拖沓和温吞。与此同时，资本的逐利性随处可见。福岛核废水处理选择成本最低的排放大海是一例，医疗技术超前国内新冠疫苗研发却空前滞后，又是一个显著的例子。 收起全文d
乱尘苍苔,6426456710,04月12日 06:06,微博发布平台专业版,,,,,,#日本研究抑制牛打嗝#,【为减少碳排放 】据日本时事通讯社11日报道，该国农林水产领域排放的约为5000万吨温室气体中，牛打嗝和排泄物所释放的温室气体约为1370万吨，约占总数三成。日本农林水产省为此准备进行相关研究，以促使牛减少温室气体排放。据悉，牛胃分解饲料时会在微生物的作用下产生甲烷，并通过打嗝释放出来。而甲烷产生的温室效应是二氧化碳的25倍，进而导致全球变暖。由于甲烷的产生与牛胃中的微生物有关，所以日本农林水产省计划在今年进行相关实证研究，将甲烷排放较少的牛个体与其他牛进行比较，分析其诱发原因。（环球网） 收起全文d
狱炎猛火,7510742365,04月12日 18:40,帝吧超话,,,,,,#外交部回应日本拟决定核废水排海# #日方不能对国际社会的反对视而不见#,赵立坚：日本福岛发生的核事故是迄今为止全球发生的最为严重的核事故之一。目前国际舆论对日方拟决定核废水排海高度关注，普遍表示质疑和反对。日本国内也有不少强烈反对意见。日方经常要求他国履行国际责任，现在国际社会都在看着日方，日方不能视而不见、听而不闻。此事关系重大，日方应对国际公共利益负责，这也是对本国民众利益负责。为维护国际公共利益和中国人民健康安全，中方已通过外交渠道向日方表明严重关切，要求日方切实以负责任的态度，审慎对待福岛核电站核废水处置问题。 收起全文d
一个院长的思考,3187525994,04月11日 17:21,iPhone 8 Plus,,9,4,9,,-,自然生态系统提供至关重要的资源，例如食物、水、燃料、植物授粉、药物、防范风暴和洪水的保护，以及使生命成为可能的基本服务。我们正在努力保护地球的自然美并为子孙后代提供经济惠益。 ​
天真橘可爱,1944234933,04月12日 22:58,iPhone客户端,,,,,,-,等等核废水是明天？？ ​
地攥攥儿,6708399621,04月11日 17:44,荣耀30 Pro 5G,,,,,,#只有10%被蜱虫叮咬的人会发病#,10%发病率其实不算低，十个人中就有一个人会发病。被蜱虫叮咬后人会在24~48小时出现不同的炎症反应，甚至某些蜱还会注入麻痹神经的毒素，使人神经中枢受侵而死亡（儿童较多，国外报道较多）。所以遇到蜱虫千万不能拍或者拔，因为强行扯出会让它的吸血管（假头）断在皮肤内。那碰到这种情况我们应该如何处理？1. 事先预防蜱虫。可以选择喷洒杀虫剂，保持住房通风干燥；个人进入林区或野外时穿着长袖长裤，扎紧腰带、袖口、裤腿，颈部系上毛巾，结束后需检查身体是否有异物附着。2. 如果被蜱虫叮咬了，可用乙醚、氯仿涂抹在虫体头部，或者在旁边点燃蚊香使其松口；也可以用凡士林厚涂在虫体头部使其窒息，再用镊子轻轻拉出。假如其口器残留在皮肤内则需要手术取出。3. 事后及时消毒并做封闭处理，有全身中毒症状需要使用抗组胺药或糖皮质激素，出现麻痹或者发热头疼等情况则需要及时抢救。 收起全文d
金仔79089,6064866680,04月12日 22:57,学习强国客户端,,,,,,-,日本拟决定核废水排海 外交部：中方已表明严重关切 O网页链接 ​
就在郑州,5776961752,04月12日 16:06,微博视频号,,,,,,#日本核废水可致癌致畸致突变#】4月9日，日本政府基本决定将福岛核污水排入大海。12日，日本首相菅义伟表示，解决东京电力公司福岛第一核电站中不断增加的核污水一事，已经是“不能推迟”的课题。郑州大学教授李顺义指出，核废水排入大海以后，首先会影响到周边国家，然后经过海洋的大洋环流，十年以后，整个太平洋将会受到全部的污染。它如果存在人的体内，就可能导致“三致”，致癌致畸致突变，对人的遗传基因有重大的影响。#日本称处理福岛核污水不能推迟# #外交部回应日本拟决定核废水排海#,【专家： L大参考的微博视频 收起全文d
ALEX神州老虎不吃面,3831966674,04月12日 20:15,微博视频号,,,,,,#日本政府基本决定将福岛核污水排入大海# 日本明天将要决定，将福岛核污水排入大海。日本说，“福岛核污水将会达标后再排入大海”。为什么这种说法不可信？东京电力公司是管理运营福岛核电站的公司，数数过去我采访过的东电，那些“篡改瞒报”，你信他们会让核污水达标吗？  L凤凰李淼的微博视频 #v光计划#, 收起全文d
江南之嘉,2144626862,04月12日 22:56,学习强国客户端,,,,,,-,日本拟决定核废水排海 外交部：中方已表明严重关切 O网页链接 ​
煜骑士,6822837932,04月12日 15:23,微博 weibo.com,,,,,,#日方不能对国际社会的反对视而不见#】#外交部回应日本拟决定核废水排海#,【外交部：：目前国际舆论对日方拟决定核废水排海高度关注，普遍表示质疑和反对。日本国内也有不少强烈反对意见。日方经常要求他国履行国际责任，现在国际社会都在看着日方，日方不能视而不见、听而不闻。此事关系重大，日方应对国际公共利益负责，这也是对本国民众利益负责。为维护国际公共利益和中国人民健康安全，中方已通过外交渠道向日方表明严重关切，要求日方切实以负责任的态度，审慎对待福岛核电站核废水处置问题。（总台央视记者张雪松）O网页链接 收起全文d
